o_n,o_d,a_n,a_d,period
12254,8523,93464,99901,278012
12062,3323,1130,1397,9172
722,50773,605,698,18
30339,70940,2147,57497,25508
5125,4372,31740,49447,95170
42241,22126,45692,29773,144071
64089,29780,33101,52943,185174
4228,19325,48947,5861,11991
38669,22650,8899,19160,47903
72651,71752,15256,6065,21588
36249,73477,44495,16609,30145
17975,14536,9257,93007,126459
73959,45229,43069,73215,190149
50128,40095,75455,58161,167051
743,12369,15641,14076,1785
18922,24923,49086,41449,68735
13852,32149,7433,17842,10890
3787,3565,84681,65539,159575
7608,5455,2731,26037,40122
76322,47141,86242,60901,238227
40359,21914,44834,44253,164071
87732,575,71523,94609,25347987
14593,70569,78765,30539,22603
25340,91159,14264,9349,6564
98300,69147,56963,80163,194940
14678,12023,83397,37985,148187
4237,2170,25388,24293,97003
597,518,7914,7495,17759
7213,5732,12785,9576,28139
341,58045,92247,62801,910
69943,34794,1568,11615,26500
81703,3755,64991,69531,2926991
2999,2959,53101,24906,79061
17279,9857,38877,85865,218669
7725,382,25033,12825,765584
11360,10659,41797,40433,87638
3247,2192,41387,88431,192299
5011,31386,34037,37934,11491
71915,69348,12803,1472,14803
43927,26609,44262,63203,177407
43594,40177,2396,19553,23815
2307,1216,13785,10012,45147
2588,1781,11995,6632,27068
28441,22446,55901,76905,168277
8150,29787,89870,51141,38582
39244,21497,61784,74435,248676
73821,49228,48813,24935,110590
29747,23778,77066,38283,144305
25489,93797,13931,6107,5445
39815,24653,29636,42759,116919
80228,47639,72309,31240,174385
73128,46567,62519,62930,197003
33733,33676,69484,18085,87717
32,77,33589,82335,48177
23293,38340,26370,67573,57074
31701,30995,17423,33,17853
51914,32301,93654,82339,282855
22211,53861,85799,31730,48466
37569,15410,61556,40049,247709
1773,956,45721,59727,195564
77994,19549,47591,64551,447409
18341,17613,11912,68007,83222
39568,38223,46405,61927,112144
86974,43825,2989,10481,26732
29119,65340,39080,3459,18958
20262,17737,66877,43471,126057
56741,42052,94410,77701,232230
48953,39645,81708,85523,206494
6737,30410,88695,79139,37182
88457,50589,23707,22784,81291
20344,54965,40268,41887,30408
20092,48433,9311,24419,13993
81653,82306,92596,52075,143523
5525,92294,20913,4724,1534
21963,31673,79754,20641,69617
42017,24849,754,1403,3647
1305,1477,10729,10403,18671
92794,60755,24990,75487,153463
26219,15366,79612,87767,285598
34641,18374,11257,28744,75415
18706,10539,1766,40351,74755
42205,29232,36453,64009,145046
24714,45329,58385,93503,82812
24401,14411,60832,1131,104917
21117,16486,91004,64653,199382
47869,47385,33418,4635,38442
38534,39051,59054,64885,122298
49421,18240,18512,21265,107775
38173,45033,13864,4097,15225
45365,31353,6215,4021,14811
74584,44081,75571,8516,142273
5998,3421,15988,2633,32648
84819,10316,316,1111,11733
7529,4016,2948,1039,7474
3935,5259,59569,73197,99341
30183,27821,32918,6373,42627
66193,13934,89651,77801,795476
58490,62001,56564,7661,60588
69751,57296,51801,98390,182840
24227,3137,27287,47994,581394
59132,68545,2333,2884,4500
28129,20826,6261,1027,9844
15484,4927,78432,51389,407986
88486,62783,23141,24622,67317
19979,13050,41761,41189,126993
2274,1205,47016,10205,107984
20597,97953,14887,20075,7352
49841,45332,9579,24928,37939
27977,23738,93651,63712,185464
2697,12515,46818,43303,19421
22845,13996,63307,85836,243438
21455,20673,4407,34202,40069
2609,1624,2702,15467,29189
87609,62189,39037,26409,92197
62184,44875,15059,37007,72149
71033,3541,54,49,2066
97337,28354,29849,20152,171650
21103,12640,5330,32887,63805
48287,47400,18137,25925,44887
56609,46341,79817,76584,191056
95584,8219,3685,6368,116913
9606,33727,32389,24835,16298
69449,44331,367,621,1547
41391,38861,3494,4213,8209
48246,15229,4014,22799,84945
89041,61650,23840,2873,38582
27681,14107,9607,2225,23217
20481,48112,977,41351,18018
99417,7651,3516,18625,287700
26110,15527,91009,55323,246070
28967,34626,7085,83061,75414
19811,4058,69060,44767,555699
81903,54218,3759,5044,13298
21854,15111,11309,23947,50988
29284,34427,88688,87811,150133
98309,25263,85491,65623,588048
91651,80979,47299,92796,158558
12926,18443,3154,16395,13701
34438,45323,4979,64315,52652
53620,83359,55502,69219,80226
33688,20785,37427,2031,63953
24559,30269,30716,3665,27895
389,254,24664,15877,62088
11294,7973,82101,80498,230326
90565,1528,23240,80329,6138564
89361,89635,22599,31685,54118
68999,18639,91349,23392,424755
26113,15488,6539,3641,17163
75367,46399,80081,34134,185522
1010,1849,3398,13775,9381
23778,14369,841,42304,71397
806,445,21245,12233,60636
14735,13248,3581,1922,6120
90622,19143,40039,70462,523106
14917,24350,85583,29186,70308
5596,26129,13961,8308,4770
24119,12533,32749,31658,123947
13851,8758,94623,59228,243319
42698,37533,20169,77332,110918
15369,9734,3432,31,5467
58522,53469,18280,79927,107488
83321,59532,4221,2098,8844
800,22727,83801,81040,5802
21825,6239,14951,3801,65597
64431,34168,13084,65391,147981
23526,8641,23409,23887,128768
46116,29035,28979,85677,182107
5743,5143,37105,22781,66872
105,617,18460,49983,11648
5296,2805,87461,15882,195118
12113,8426,40399,17222,82834
49321,45592,4111,7236,12275
38979,47987,49311,27875,62697
51115,559,5951,307,572232
4153,3059,8086,89083,131920
34100,24913,71647,74286,199747
12523,21208,7417,23107,18024
4158,6571,73201,23361,61103
47315,37872,83327,56611,174830
17304,10517,35797,9648,74773
775,462,63000,2641,110112
34423,28145,22048,44453,81335
63082,69257,7645,10741,16747
52844,59685,78397,95619,154071
48229,27460,44707,86493,230431
31697,45909,2001,1550,2452
33317,70847,17821,77364,44762
1581,32599,69116,39121,5250
1289,1641,52705,63457,91245
21889,66328,6432,377,2247
9071,901,8944,11599,206821
16975,8863,6529,36991,83352
44274,42109,14171,11577,27072
2913,3562,52951,16299,56633
81291,24851,77643,90377,549616
1465,60342,58019,48303,2581
66972,86759,15328,19889,27185
10092,2921,98775,51571,519442
67523,54790,23350,15313,47648
24103,20479,8753,97139,124630
35357,6455,11974,41873,294945
4569,9116,34717,31511,33194
34599,19471,4701,4673,16657
31712,46209,19577,9128,19700
78927,59846,54143,9824,84362
48741,28148,86274,87995,301763
4783,9648,46780,30179,38153
16156,86385,24922,70555,17856
92654,62481,27747,26473,80404
99005,97588,44019,28517,73590
41309,25818,5309,88057,149386
30497,18196,72084,67927,234662
21719,14010,88391,32825,187915
52631,81313,48281,9197,37203
33105,3229,21218,73579,971897
59116,57879,44197,82379,129281
31927,21877,26794,10361,54223
36177,95249,76372,70361,55732
41851,82842,61611,69884,66430
2220,1283,54772,50007,181302
28085,84158,42995,15411,19491
10046,5215,93090,15353,208901
22073,61120,63739,49824,41012
4538,5263,6905,86262,80333
24923,11751,33561,50368,178007
64603,25446,41106,31007,183083
88663,8009,4540,2979,83238
43619,11767,78262,51421,480721
79387,14886,79,235,1675
45354,23365,80935,12759,181870
19831,15688,21733,41327,79713
52432,83217,48779,20791,43833
15259,7686,39551,22350,122892
6779,83891,10716,1133,957
5326,4671,55958,28073,95814
93423,7816,2913,2189,60983
58249,33333,74192,90967,288613
88639,78330,67601,2956,79843
25849,33232,63999,83020,114356
29539,6705,8714,76335,374685
979,1645,67821,38225,63112
17284,10181,28402,27483,94875
40322,62769,2347,4173,4188
7461,58474,3681,6193,1260
15832,16225,7309,48595,54549
8439,4993,28519,9791,64750
78412,3721,5623,23781,619625
22998,11867,7595,98348,205315
1129,5195,11455,69723,17642
13543,77639,6795,55069,10791
61749,4544,67347,2708,951987
244,603,80418,59537,56632
487,481,86337,26203,113943
745,678,68926,20513,98278
78177,14551,28796,53163,440334
46496,26703,40466,19017,103573
11141,8288,99911,91935,257886
9027,5987,20519,47216,102128
56319,82595,614,93967,64492
84077,60136,70667,37225,150845
17728,29471,18931,99958,71516
14314,18977,20334,23837,33317
17768,15623,15449,58799,84442
7398,4361,47989,17076,110376
16253,6662,19988,28551,118418
12799,17313,47977,627,35932
11982,42911,24841,12300,10371
75912,51907,1424,457,2751
26549,8443,10839,42967,169193
63892,75161,91241,11800,87592
299,2107,78767,23280,14481
21521,11319,92054,7873,189993
20301,15809,28898,40505,89124
35455,48492,7029,7058,10300
56761,29452,9643,13919,45410
7892,4583,64701,85279,258268
11126,6331,65490,26843,162265
20953,14209,15317,54969,103645
68461,89024,13173,14972,21644
148,75,3797,2476,12378
21879,31333,2850,2369,3645
45596,49259,11463,6902,16999
20611,79425,575,389,250
10632,5371,36663,31981,135883
73851,39541,13084,93579,199216
25301,31517,532,31085,25382
39833,22275,99565,68766,301015
45481,21116,21681,86518,233046
61910,33237,44871,51497,179503
18257,14084,7779,1948,12609
17053,25272,77499,59816,92657
3319,12856,14374,45967,15578
47877,35243,39359,86924,171553
14885,15662,47829,5101,50304
25169,80762,94016,91555,57832
1047,1009,32519,79936,116690
755,554,59615,36482,130963
81284,45007,1295,36,2404
52398,62023,41425,50528,77683
16403,60444,7109,14262,5800
66511,47349,33409,41624,105399
11366,4689,30577,40715,172809
12218,22889,59461,97521,83796
29443,20211,29620,9849,57497
17642,16103,73448,40067,124364
19368,93295,64502,22959,18157
27869,40013,20863,55757,53366
15659,8563,63412,22041,156266
38194,9163,4909,19289,100865
62213,39725,84365,91197,274946
11236,9265,63760,42809,129241
25919,3662,1649,3448,36076
65326,39881,99515,56026,254779
18201,48062,62839,8437,26993
26666,17613,25995,74851,152681
7087,6252,56492,63781,136336
5573,4014,38323,66074,144944
5356,2923,25351,44182,127410
21763,62236,15401,36726,18228
9701,24589,35141,47617,32651
64325,48973,55082,44243,130462
8016,18547,64690,34851,43021
