o_n,o_d,a_n,a_d,period
63003,46145,44997,30359,102885
6609,536,79838,44285,1530464
39909,37676,34762,1181,38073
67742,61313,42100,40773,91563
18125,15058,25839,21499,56979
7853,3162,80399,18640,245969
31001,240,22310,12753,4529117
17700,9541,35907,23687,110555
7991,6621,89221,86461,212034
96351,80459,34415,16807,61339
53629,25119,71417,37967,233535
50606,17997,22651,3818,74428
1885,1446,16279,10822,35329
3537,2395,3785,1919,8424
37221,187,64995,36139,20129993
92719,40130,77450,64807,328680
74427,31051,61351,45827,256898
65437,5564,52193,10515,737495
75773,39515,83815,58554,273003
87349,49269,35717,1096,65266
51971,24283,50549,2799,114177
15643,2808,99947,8254,602773
81545,62499,94018,47633,184818
16930,7109,44449,32106,182315
75119,66579,32159,26885,66617
96506,35139,33823,11718,125074
82650,42923,8993,4569,26114
96202,87101,87499,33103,133203
16447,7745,37895,6839,94996
93110,62097,95872,54981,226194
6063,3376,57799,4847,112506
90766,88899,86676,20593,109522
88840,51431,38331,28637,115678
40127,5119,28240,16027,347002
56305,40362,54318,30109,117776
73728,41959,137,63,351
75125,19672,62474,53515,442948
49921,1657,14956,1951,509363
32098,3217,81499,77032,1581761
90118,69483,37417,19835,74255
8807,745,3391,3075,76438
98710,35233,95501,88982,516854
12781,7053,681,260,1706
10761,5809,5825,4944,19949
5192,5003,21709,17058,40232
99306,29831,63903,38917,342283
13796,11435,38993,35404,89757
97414,78299,73141,23308,119995
13226,10181,44134,17565,80152
7401,5462,5214,1429,9001
71348,4021,14084,7155,376862
43023,32599,76039,60743,180520
92348,52497,84585,13511,172562
77981,2167,30376,6305,1319991
33238,7355,36576,13499,226294
25785,3967,61978,12813,486132
36821,1993,93804,78923,3191160
21254,10639,53755,50121,207517
60155,7582,40833,6079,372196
52936,37263,43409,28922,102754
50043,15235,4960,77,16545
40949,2768,24240,9467,498652
11915,3254,95900,94797,698265
50155,15629,88842,56587,466696
31269,13631,23741,13498,85424
29191,1825,53731,26167,1277974
58423,34809,99256,74887,292280
66901,51338,20000,6263,34224
59054,10331,60053,32714,530274
86737,83500,41317,32185,76351
56507,20420,40264,5557,126798
74312,46671,82890,51301,213666
12069,5720,9046,6807,33449
93391,39276,14074,11561,60955
22673,21753,4507,2019,6802
98599,8245,70906,11741,988346
